,Snail,(sn),
,Snake,~~~~8},
,Soccer Ball,(so),
,Sorry,?-(,
,Sour Face,X P,
,Sour Face,(X^(*,
,Spanish bull,}:8>,
,Speak no Evil,:-M,
,speak with forked tongue,:-W,
,speechless,:-x,
,spitting out chewingtobacco,:-`,
,Standing Firm,:-( <|,
,Star,(*),
,Star Gazed,*~*,
,Staring At A Screen For Too Long,%-),
,Stick Man,/ \,
,sticking out tongue,:-P,
,sticking their tongue out (at you!),:-p,
,Sticking Tongue Out,>:P,
,Sticking Tongue Out,:pp,
,Sticking Tongue Out,:P,
,Sticking Tongue Out,:-r,
,sticking tongue out,:-P,
,Sticking Tongue Out,:-)~,
,Stock Broker,$:-$,
,Stop,*STOP*,
,Stormy Cloud,(st),
,Straight face,:|,
,Stressed,-.-,
,Stunned,@?@,
,Suave,&;-P,
,Sunglasses,B-),
,sunglasses,8-),
,sunglasses on head,B:-),
,Sunglasses on top of head,B :-),
,"Sunglasses, Mustache, Beard",(8-{)},
,"Sunglasses, Mustache, Goatee",/8^{~,
,Sunshine,(#),
,super sad,:-<,
,Surfer,    /',
,surprise,:-o,
,Surprised,U,
,Surprised,\m/<(^_^)>\m/,
,Surprised,*SURPRISED*,
,Surprised,{:o,
,surprised,(:-),
,Surprised,:o,
,Surprised,:0,
,surprised,:-o,
,"surprised, worried",:-o,
,Suspense,8-|,
,Swearing,:#,
,Sweating,`:-),
,Sword,oxx:{}:::::::>,
,Sword,/________|___|,
,Syringe,---(|||]==[],
,Talkative,:-0,
,Talking,:-D,
,Talking,:-{ },
,Talking,:^y,
,talking from both sides of mouth,:-8,
,Talking Gibberish,:-S,
,Talking head Smiley,:-v,
,Tearful,&-|,
,Telephone Receiver,(t),
,Teletubby,-(:)(0)=8,
,Television,>[I,
,The Devil,]:->,
,the other halo,0:-),
,the pope,+-(:-),
,thief: hands up!,(:>-<,
,Thin As A Pin,:-)---,
,Thinking,*-),
,thinking,:-I,
,Thinking,:-?,
,Thumbs Down,(n),
,Thumbs Up,*THUMBS UP*,
,Thumbs Up,(y),
,thumbs up,^,
